"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"41","RT @SJSchauer: I’m literally having so much fun complimenting everyone. I feel like a drunk bathroom girl",FALSE,0,NA,2019-03-27 20:37:08,FALSE,NA,"1111004248660156416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bing_Swing",8,TRUE,FALSE,NA,NA
"42","RT @camrygirlz: having a dad looks fun https://t.co/WYxFuRYwxZ",FALSE,0,NA,2019-03-27 20:37:06,FALSE,NA,"1111004237775978497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TebohoMatabane",23304,TRUE,FALSE,NA,NA
"43","Having fun in a com cup <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> https://t.co/DQlOqpphs0",FALSE,3,NA,2019-03-27 20:36:59,FALSE,NA,"1111004210563346435",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WilfredioR6",0,FALSE,FALSE,NA,NA
"44","I’m literally having so much fun complimenting everyone. I feel like a drunk bathroom girl",FALSE,95,NA,2019-03-27 20:36:58,FALSE,NA,"1111004203051347968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SJSchauer",8,FALSE,FALSE,NA,NA
"45","RT @camrygirlz: having a dad looks fun https://t.co/WYxFuRYwxZ",FALSE,0,NA,2019-03-27 20:36:55,FALSE,NA,"1111004193299415040",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","_frrankiee",23304,TRUE,FALSE,NA,NA
"46","In actuality Shmi's gotten procedures to alter her appearance pretty drastically and she's been working with/having… https://t.co/b6704jsFtA",FALSE,0,"Nymphomachy",2019-03-27 20:36:54,TRUE,"1111002840858873857","1111004189478535168","852640557528735744","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Nymphomachy",0,FALSE,FALSE,NA,NA
"47","Y’all don’t cheat as long as y’all having fun, spending money, and maintaining balance. https://t.co/9PvqB5NMoA",FALSE,1,NA,2019-03-27 20:36:48,FALSE,NA,"1111004162282668032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BasicBitching",0,FALSE,FALSE,NA,NA
"48","Mrs. Snow's second grade LOVED practicing math skills with Toothy Math!!! So happy to see them engaged and having fun!!!!",FALSE,0,NA,2019-03-27 20:36:44,FALSE,NA,"1111004144284897281",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MPESrocks",0,FALSE,FALSE,NA,NA
"49","RT @YorksDiamonds: Girls cricket @stpetersyork this afternoon. Wonderful to see 40 girls having a fun time.  Thank you @SportsLearnZone @Co…",FALSE,0,NA,2019-03-27 20:36:43,FALSE,NA,"1111004141755748355",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andrewhal484848",2,TRUE,FALSE,NA,NA
"50","Having STEM fun - Egg Drop Challenge! #iTeachMath #MtBos https://t.co/91AQmJCPU6",FALSE,0,NA,2019-03-27 20:36:42,FALSE,NA,"1111004137410433024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LauraVJCPS",0,FALSE,FALSE,NA,NA
